Property Address,Tax Roll,legal_desc,assessed_value_CAD,land_use,classifications,parcel_area (m2),year_built,living_area_above_grade_ft2,bldg_desc,finished_below_grade,garage,deck,veranda,fireplace,walkout_basement
449 MORNINGSIDE WY SW,842627,Plan: 0611513 Block/Unit: 5 Lot: 15,375000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,433,2007,1572,2 Storey,None,Yes,Yes,Yes,Yes,Yes
11 MORNINGSIDE MR SW,845259,Plan: 0714812 Block/Unit: 15 Lot: 24,348000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,350,2007,1564,2 Storey,None,Yes,No,Yes,Yes,No
296 MORNINGSIDE GD SW,845255,Plan: 0714812 Block/Unit: 12 Lot: 14,396000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,466,2007,1585,2 Storey,Yes,Yes,Yes,Yes,Yes,No
368 MORNINGSIDE CR SW,844259,Plan: 0710893 Block/Unit: 8 Lot: 18,391000,R1 Single Detached Residential District,Single Family Dwelling,448,2007,1843,2 Storey,None,Yes,Yes,No,Yes,No
170 MORNINGSIDE GD SW,844637,Plan: 0712774 Block/Unit: 12 Lot: 13,359000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,523,2007,1316,2 Storey,Yes,Yes,Yes,Yes,Yes,No
16 MORNINGSIDE PL SW,844713,Plan: 0712774 Block/Unit: 8 Lot: 49,464000,DC-13-A,Single Family Dwelling,735,2007,2498,2 Storey,None,Yes,Yes,No,Yes,No
174 MORNINGSIDE GD SW,844639,Plan: 0712774 Block/Unit: 12 Lot: 12,341000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,392,2007,1316,2 Storey,Yes,Yes,Yes,Yes,None,No
528 MORNINGSIDE PA SW,842653,Plan: 0611513 Block/Unit: 6 Lot: 17,373000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,343,2007,1606,2 Storey,Yes,Yes,Yes,Yes,Yes,No
288 MORNINGSIDE GD SW,845253,Plan: 0714812 Block/Unit: 12 Lot: 16,356000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,362,2009,1442,2 Storey,None,Yes,Yes,Yes,Yes,No
93 MORNINGSIDE MR SW,845288,Plan: 0714812 Block/Unit: 15 Lot: 4,363000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,342,2009,902,Bi-Level,Yes,Yes,Yes,Yes,None,No
19 MORNINGSIDE ME SW,848400,Plan: 1012160 Block/Unit: 15 Lot: 107,385000,R1-U Urban Standard Residential District,Single Family Dwelling,343,2010,1915,2 Storey,None,Yes,Yes,Yes,Yes,No
244 MORNINGSIDE GD SW,845232,Plan: 0714812 Block/Unit: 12 Lot: 27,356000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,349,2008,1464,2 Storey,Yes,Yes,Yes,Yes,None,No
292 MORNINGSIDE GD SW,845254,Plan: 0714812 Block/Unit: 12 Lot: 15,342000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,362,2008,1365,2 Storey,None,Yes,Yes,No,Yes,No
71 MORNINGSIDE ME SW,848413,Plan: 1012160 Block/Unit: 15 Lot: 94,397000,R1-U Urban Standard Residential District,Single Family Dwelling,351,2010,1967,2 Storey,None,Yes,Yes,Yes,Yes,No
159 MORNINGSIDE ME SW,848436,Plan: 1012160 Block/Unit: 15 Lot: 72,466000,R1-U Urban Standard Residential District,Single Family Dwelling,408,2010,2459,2 Storey,Yes,Yes,Yes,Yes,Yes,No
103 MORNINGSIDE ME SW,848422,Plan: 1012160 Block/Unit: 15 Lot: 86,585000,R1-U Urban Standard Residential District,Single Family Dwelling,532,2011,2459,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
126 MORNINGSIDE PT SW,842579,Plan: 0611513 Block/Unit: 1 Lot: 10,426000,DC-13-B,Single Family Dwelling,361,2008,1830,2 Storey,None,Yes,Yes,Yes,Yes,Yes
529 MORNINGSIDE PA SW,842666,Plan: 0611513 Block/Unit: 7 Lot: 6,327000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,365,2006,1256,2 Storey,Yes,Yes,Yes,Yes,None,No
185 MORNINGSIDE GD SW,844644,Plan: 0712774 Block/Unit: 11 Lot: 60,321000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,342,2007,1249,2 Storey,None,Yes,Yes,No,Yes,No
213 MORNINGSIDE GD SW,844658,Plan: 0712774 Block/Unit: 11 Lot: 67,336000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,359,2007,1464,2 Storey,None,Yes,Yes,Yes,None,No
30 MORNINGSIDE LD SW,844672,Plan: 0712774 Block/Unit: 8 Lot: 39,407000,DC-13-A,Single Family Dwelling,512,2007,1830,2 Storey,Yes,Yes,Yes,No,Yes,No
304 MORNINGSIDE CR SW,842672,Plan: 0611513 Block/Unit: 8 Lot: 2,462000,R1 Single Detached Residential District,Single Family Dwelling,457,2006,2483,2 Storey,Yes,Yes,Yes,Yes,Yes,No
520 MORNINGSIDE PA SW,842655,Plan: 0611513 Block/Unit: 6 Lot: 19,319000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,343,2006,1316,2 Storey,None,Yes,Yes,Yes,None,No
151 MORNINGSIDE ME SW,848434,Plan: 1012160 Block/Unit: 15 Lot: 74,404000,R1-U Urban Standard Residential District,Single Family Dwelling,354,2011,1780,2 Storey,Yes,Yes,Yes,Yes,Yes,No
324 MORNINGSIDE CR SW,844239,Plan: 0710893 Block/Unit: 8 Lot: 7,499000,R1 Single Detached Residential District,Single Family Dwelling,777,2007,2526,2 Storey,Yes,Yes,Yes,Yes,Yes,No
57 MORNINGSIDE BA SW,844234,Plan: 0710893 Block/Unit: 3 Lot: 26,456000,R1 Single Detached Residential District,Single Family Dwelling,493,2006,2391,2 Storey,Yes,Yes,Yes,Yes,Yes,No
199 MORNINGSIDE CI SW,845938,Plan: 0810785 Block/Unit: 16 Lot: 16,398000,DC-13-B,Single Family Dwelling,385,2010,1946,2 Storey,None,Yes,Yes,No,Yes,No
191 MORNINGSIDE CI SW,845936,Plan: 0810785 Block/Unit: 16 Lot: 18,402000,DC-13-B,Single Family Dwelling,385,2008,1845,2 Storey,Yes,Yes,Yes,Yes,Yes,No
203 MORNINGSIDE CI SW,845939,Plan: 0810785 Block/Unit: 16 Lot: 15,453000,DC-13-B,Single Family Dwelling,385,2011,2298,2 Storey,Yes,Yes,Yes,Yes,Yes,No
405 1 AV SE,298100,Plan: 289HY Block/Unit: 8 Lot: 20,329000,R1-V Village Residential District,Single Family Dwelling,536,1961,864,Bungalow,Yes,Yes,Yes,No,None,No
229 1 AV NE,104200,Plan: 5541R Block/Unit: E Lot: 6-7,375000,R1-V Village Residential District,Single Family Dwelling,557,1981,1161,Bi-Level,Yes,Yes,Yes,No,Yes,No
213 2 AV NE,396000,Plan: 1127O Block/Unit: 1 Lot: 1,459000,R1-V Village Residential District,Single Family Dwelling,604,1977,2131,2 Storey,Yes,Yes,Yes,No,Yes,No
306 132 1 AV NW,847594,Plan: 0914103 Block/Unit: 11 Lot:,146000,M3 Downtown Core Mixed Use District,Condominium,59,2009,676,Apartment,None,None,Yes,No,Yes,No
402 132 1 AV NW,847596,Plan: 0914103 Block/Unit: 19 Lot:,192000,M3 Downtown Core Mixed Use District,Condominium,81,2009,927,Apartment,None,None,Yes,No,Yes,No
409 MAIN ST NW,428900,Plan: 7155JK Block/Unit: 1 Lot: 14,328000,R1 Single Detached Residential District,Single Family Dwelling,604,1970,959,Bi-Level,Yes,Yes,Yes,No,Yes,No
433 CENTRE AV SE,14400,Plan: 5541R Block/Unit: 5 Lot: 25-26,284000,R1-V Village Residential District,Single Family Dwelling,557,1958,1079,Bungalow,None,Yes,None,None,None,No
401 132 1 AV NW,847595,Plan: 0914103 Block/Unit: 18 Lot:,197000,M3 Downtown Core Mixed Use District,Condominium,84,2009,960,Apartment,None,None,Yes,No,Yes,No
428 2 AV NE,387300,Plan: 5541R Block/Unit: 7A Lot: 5-6,323000,R1-V Village Residential District,Single Family Dwelling,557,1961,864,Bungalow,Yes,Yes,Yes,No,Yes,No
233 1 AV NE,125500,Plan: 5541R Block/Unit: E Lot: 8-11,401000,R1-V Village Residential District,Single Family Dwelling,650,1957,1331,Bungalow,Yes,Yes,Yes,No,Yes,No
112 2 AV NW,230500,Plan: 1543X Block/Unit: 3 Lot: 3,471000,R1 Single Detached Residential District,Single Family Dwelling,604,1990,1580,Bungalow,Yes,Yes,Yes,No,None,No
516 2 AV NE,109300,Plan: 5541R Block/Unit: 8A Lot: 10-12,400000,R1-V Village Residential District,Single Family Dwelling,836,1970,1073,Bungalow,Yes,Yes,Yes,No,Yes,No
110 ALBERT ST SE,327700,Plan: 7810182 Block/Unit: F Lot: 7,262000,R2 Low Density Residential District,Duplex,302,1977,1083,Bi-Level,Yes,Yes,Yes,No,None,No
428 1 AV NE,135500,Plan: 5541R Block/Unit: 2A Lot: 5-7,298000,R1-V Village Residential District,Single Family Dwelling,634,1940,975,Bungalow,Yes,Yes,None,None,Yes,No
417 MAIN ST NW,859995,Plan: 1810646 Block/Unit: 1 Lot: 3,397000,R1 Single Detached Residential District,Single Family Dwelling,810,1971,1344,Bungalow,Yes,Yes,None,None,Yes,No
121 5 AV NW,346000,Plan: 8074JK Block/Unit: 2 Lot: 3,393000,R1 Single Detached Residential District,Single Family Dwelling,668,1971,1690,Bungalow,Yes,Yes,Yes,No,Yes,No
301 132 1 AV NW,847589,Plan: 0914103 Block/Unit: 12 Lot:,190000,M3 Downtown Core Mixed Use District,Condominium,84,2009,960,Apartment,None,None,Yes,No,Yes,No
316 1 ST NW,286000,Plan: 5111JK Block/Unit: 1 Lot: 11,352000,R1 Single Detached Residential District,Single Family Dwelling,696,1972,1088,Bi-Level,Yes,Yes,Yes,No,Yes,No
432 1 AV NE,39500,Plan: 5541R Block/Unit: 2A Lot: 3-5,351000,R1-V Village Residential District,Single Family Dwelling,725,1942,1787,1 1/2 Storey,Yes,Yes,Yes,No,Yes,No
107 ALLEN ST NE,290100,Plan: 2590GU Block/Unit: 2 Lot: 1,284000,R1-V Village Residential District,Single Family Dwelling,794,1958,864,Bungalow,None,Yes,Yes,No,None,No
221 1 AV NE,365100,Plan: 5541R Block/Unit: E Lot: 1-3,339000,R1-V Village Residential District,Single Family Dwelling,892,1950,1298,Bungalow,Yes,Yes,Yes,No,Yes,No
125 5 AV NW,247600,Plan: 8074JK Block/Unit: 2 Lot: 2,394000,R1 Single Detached Residential District,Single Family Dwelling,668,1971,1423,Bungalow,Yes,Yes,Yes,No,Yes,No
304 SMITH ST NE,238100,Plan: 7711717 Block/Unit: B Lot: 2,365000,R1 Single Detached Residential District,Single Family Dwelling,1627,1967,1148,Bungalow,Yes,Yes,Yes,No,None,No
516 2 AV NE,109300,Plan: 5541R Block/Unit: 8A Lot: 10-12,400000,R1-V Village Residential District,Single Family Dwelling,836,1970,1073,Bungalow,Yes,Yes,Yes,No,Yes,No
313 CENTRE AV SE,190300,Plan: 5541R Block/Unit: 6 Lot: 35-36,685000,R1-V Village Residential District,Single Family Dwelling,557,2014,2551,2 Storey,Yes,Yes,Yes,Yes,Yes,No
404 CENTRE AV NE,435500,Plan: 2590GU Block/Unit: 2 Lot: 11-12,406000,R1-V Village Residential District,Single Family Dwelling,922,1980,1154,Bungalow,Yes,Yes,Yes,No,Yes,No
2937 PRAIRIE SPRINGS GV SW,843665,Plan: 0614647 Block/Unit: 7 Lot: 23,394000,R1 Single Detached Residential District,Single Family Dwelling,409,2010,1567,2 Storey,Yes,Yes,Yes,Yes,Yes,No
258 PRAIRIE SPRINGS CR SW,846045,Plan: 0811343 Block/Unit: 1 Lot: 73,419000,R1 Single Detached Residential District,Single Family Dwelling,431,2009,1745,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
234 PRAIRIE SPRINGS CR SW,843621,Plan: 0614647 Block/Unit: 1 Lot: 66,374000,R1 Single Detached Residential District,Single Family Dwelling,361,2007,1542,2 Storey,Yes,Yes,Yes,Yes,Yes,No
119 300 CHINOOK WINDS PL SW,854903,Plan: 1412481 Block/Unit: 17 Lot:,518000,R2 Low Density Residential District,Condominium,328,2014,1355,Bungalow,Yes,Yes,Yes,Yes,Yes,Yes
10 PRAIRIE SPRINGS BA SW,846027,Plan: 0811343 Block/Unit: 5 Lot: 21,370000,R1 Single Detached Residential District,Single Family Dwelling,406,2009,1545,2 Storey,None,Yes,Yes,Yes,Yes,No
974 PRAIRIE SPRINGS DR SW,843544,Plan: 0614582 Block/Unit: 5 Lot: 7,438000,R1 Single Detached Residential District,Single Family Dwelling,429,2010,2143,2 Storey,Yes,Yes,Yes,Yes,Yes,No
350 PRAIRIE SPRINGS CR SW,846064,Plan: 0811343 Block/Unit: 4 Lot: 2,536000,R1 Single Detached Residential District,Single Family Dwelling,443,2009,2507,2 Storey,Yes,Yes,Yes,No,Yes,Yes
121 300 CHINOOK WINDS PL SW,854905,Plan: 1412481 Block/Unit: 15 Lot:,523000,R2 Low Density Residential District,Condominium,328,2014,1355,Bungalow,Yes,Yes,Yes,Yes,Yes,Yes
7205 2781 CHINOOK WINDS DR SW,853371,Plan: 1312886 Block/Unit: 204 Lot:,171000,R4 Mid Rise Multifamily Residential District,Condominium,76,2012,710,Apartment,None,None,Yes,No,None,No
22 PRAIRIE SPRINGS BA SW,846030,Plan: 0811343 Block/Unit: 5 Lot: 24,377000,R1 Single Detached Residential District,Single Family Dwelling,480,2010,1545,2 Storey,None,Yes,Yes,No,Yes,Yes
11204 2781 CHINOOK WINDS DR SW,852531,Plan: 1311423 Block/Unit: 162 Lot:,199000,R4 Mid Rise Multifamily Residential District,Condominium,80,2013,904,Apartment,None,None,Yes,No,None,No
2814 CHINOOK WINDS DR SW,846004,Plan: 0811343 Block/Unit: 4 Lot: 26,409000,R1 Single Detached Residential District,Single Family Dwelling,444,2012,1859,2 Storey,None,Yes,Yes,Yes,Yes,No
21 PRAIRIE SPRINGS CL SW,843480,Plan: 0614582 Block/Unit: 6 Lot: 13,493000,R1 Single Detached Residential District,Single Family Dwelling,533,2011,2499,2 Storey,None,Yes,Yes,Yes,Yes,No
263 PRAIRIE SPRINGS CR SW,843625,Plan: 0614647 Block/Unit: 3 Lot: 44,376000,R1 Single Detached Residential District,Single Family Dwelling,395,2008,1705,2 Storey,None,Yes,Yes,No,Yes,No
2829 PRAIRIE SPRINGS GR SW,843554,Plan: 0614582 Block/Unit: 5 Lot: 17,434000,R1 Single Detached Residential District,Single Family Dwelling,464,2007,1930,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
2734 PRAIRIE SPRINGS GR SW,846067,Plan: 0811343 Block/Unit: 6 Lot: 40,476000,R1 Single Detached Residential District,Single Family Dwelling,474,2009,2308,2 Storey,None,Yes,Yes,Yes,Yes,No
1201 2781 CHINOOK WINDS DR SW,851407,Plan: 1212566 Block/Unit: 102 Lot:,171000,R4 Mid Rise Multifamily Residential District,Condominium,76,2012,710,Apartment,None,None,Yes,No,None,No
278 PRAIRIE SPRINGS CR SW,846050,Plan: 0811343 Block/Unit: 1 Lot: 78,420000,R1 Single Detached Residential District,Single Family Dwelling,422,2009,2100,2 Storey,None,Yes,Yes,Yes,Yes,No
1027 PRAIRIE SPRINGS HL SW,843565,Plan: 0614582 Block/Unit: 1 Lot: 18,377000,R1 Single Detached Residential District,Single Family Dwelling,465,2009,1632,2 Storey,None,Yes,Yes,No,Yes,No
978 PRAIRIE SPRINGS DR SW,843546,Plan: 0614582 Block/Unit: 5 Lot: 6,433000,R1 Single Detached Residential District,Single Family Dwelling,429,2010,1432,Bungalow,Yes,Yes,Yes,Yes,Yes,No
107 300 CHINOOK WINDS PL SW,854891,Plan: 1412481 Block/Unit: 9 Lot:,467000,R2 Low Density Residential District,Condominium,325,2014,1355,Bungalow,Yes,Yes,Yes,Yes,None,No
2770 CHINOOK WINDS DR SW,845992,Plan: 0811343 Block/Unit: 6 Lot: 43,419000,R1 Single Detached Residential District,Single Family Dwelling,455,2010,2001,2 Storey,Yes,Yes,Yes,Yes,Yes,No
344 PRAIRIE SPRINGS CR SW,843511,Plan: 0614582 Block/Unit: 4 Lot: 4,401000,R1 Single Detached Residential District,Single Family Dwelling,443,2006,1819,2 Storey,Yes,Yes,Yes,Yes,Yes,No
3104 2781 CHINOOK WINDS DR SW,853964,Plan: 1410160 Block/Unit: 223 Lot:,181000,R4 Mid Rise Multifamily Residential District,Condominium,80,2013,930,Apartment,None,None,None,None,None,No
307 PRAIRIE SPRINGS CR SW,843499,Plan: 0614582 Block/Unit: 3 Lot: 12,416000,R1 Single Detached Residential District,Single Family Dwelling,444,2007,1422,Split Level (with crawl),None,Yes,Yes,No,Yes,No
13206 2781 CHINOOK WINDS DR SW,851979,Plan: 1310382 Block/Unit: 138 Lot:,181000,R4 Mid Rise Multifamily Residential District,Condominium,76,2012,781,Apartment,None,None,Yes,No,None,No
311 PRAIRIE SPRINGS CR SW,843500,Plan: 0614582 Block/Unit: 3 Lot: 11,450000,R1 Single Detached Residential District,Single Family Dwelling,444,2007,2238,2 Storey,Yes,Yes,Yes,Yes,Yes,No
929 PRAIRIE SPRINGS DR SW,843527,Plan: 0614582 Block/Unit: 1 Lot: 7,437000,R1 Single Detached Residential District,Single Family Dwelling,383,2013,2046,2 Storey,Yes,Yes,Yes,Yes,Yes,No
13202 2781 CHINOOK WINDS DR SW,851975,Plan: 1310382 Block/Unit: 140 Lot:,181000,R4 Mid Rise Multifamily Residential District,Condominium,76,2012,781,Apartment,None,None,Yes,No,None,No
106 300 CHINOOK WINDS PL SW,854890,Plan: 1412481 Block/Unit: 8 Lot:,465000,R2 Low Density Residential District,Condominium,325,2014,1355,Bungalow,Yes,Yes,Yes,Yes,Yes,No
2802 CHINOOK WINDS DR SW,846001,Plan: 0811343 Block/Unit: 4 Lot: 29,429000,R1 Single Detached Residential District,Single Family Dwelling,471,2009,2194,2 Storey,None,Yes,Yes,No,Yes,No
2937 PRAIRIE SPRINGS GV SW,843665,Plan: 0614647 Block/Unit: 7 Lot: 23,394000,R1 Single Detached Residential District,Single Family Dwelling,409,2010,1567,2 Storey,Yes,Yes,Yes,Yes,Yes,No
1135 PRAIRIE SPRINGS HL SW,843709,Plan: 0614647 Block/Unit: 1 Lot: 46,385000,R1 Single Detached Residential District,Single Family Dwelling,363,2008,1515,2 Storey,Yes,Yes,Yes,Yes,Yes,No
8102 2781 CHINOOK WINDS DR SW,852817,Plan: 1312368 Block/Unit: 182 Lot:,181000,R4 Mid Rise Multifamily Residential District,Condominium,80,2013,930,Apartment,None,None,None,None,None,No
9304 2781 CHINOOK WINDS DR SW,852518,Plan: 1311422 Block/Unit: 153 Lot:,194000,R4 Mid Rise Multifamily Residential District,Condominium,87,2013,868,Apartment,None,None,Yes,No,None,No
2818 PRAIRIE SPRINGS GR SW,846092,Plan: 0811343 Block/Unit: 6 Lot: 19,437000,R1 Single Detached Residential District,Single Family Dwelling,448,2011,2104,2 Storey,None,Yes,Yes,Yes,Yes,Yes
2890 CHINOOK WINDS DR SW,846024,Plan: 0811343 Block/Unit: 1 Lot: 91,410000,R1 Single Detached Residential District,Single Family Dwelling,513,2010,1725,2 Storey,Yes,Yes,Yes,Yes,Yes,No
10102 2781 CHINOOK WINDS DR SW,851757,Plan: 1213391 Block/Unit: 110 Lot:,189000,R4 Mid Rise Multifamily Residential District,Condominium,81,2012,842,Apartment,None,None,None,None,None,No
194 PRAIRIE SPRINGS CR SW,843610,Plan: 0614647 Block/Unit: 7 Lot: 38,406000,R1 Single Detached Residential District,Single Family Dwelling,365,2007,1866,2 Storey,Yes,Yes,Yes,No,Yes,No
2882 CHINOOK WINDS DR SW,846022,Plan: 0811343 Block/Unit: 1 Lot: 89,379000,R1 Single Detached Residential District,Single Family Dwelling,464,2011,1545,2 Storey,None,Yes,Yes,Yes,Yes,No
2870 CHINOOK WINDS DR SW,846019,Plan: 0811343 Block/Unit: 1 Lot: 86,401000,R1 Single Detached Residential District,Single Family Dwelling,444,2009,1876,2 Storey,Yes,Yes,Yes,Yes,Yes,No
1099 PRAIRIE SPRINGS HL SW,843699,Plan: 0614647 Block/Unit: 1 Lot: 36,367000,R1 Single Detached Residential District,Single Family Dwelling,450,2007,1555,2 Storey,None,Yes,Yes,No,Yes,No
1129 PRAIRIE SPRINGS HL SW,843707,Plan: 0614647 Block/Unit: 1 Lot: 44,379000,R1 Single Detached Residential District,Single Family Dwelling,363,2007,1512,2 Storey,Yes,Yes,Yes,Yes,Yes,No
109 300 CHINOOK WINDS PL SW,854893,Plan: 1412481 Block/Unit: 11 Lot:,467000,R2 Low Density Residential District,Condominium,348,2014,1355,Bungalow,Yes,Yes,Yes,Yes,None,No
105 300 CHINOOK WINDS PL SW,854889,Plan: 1412481 Block/Unit: 7 Lot:,436000,R2 Low Density Residential District,Condominium,348,2014,1355,Bungalow,None,Yes,Yes,Yes,Yes,No
2837 PRAIRIE SPRINGS GR SW,843556,Plan: 0614582 Block/Unit: 5 Lot: 15,468000,R1 Single Detached Residential District,Single Family Dwelling,464,2008,2234,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
14106 2781 CHINOOK WINDS DR SW,853351,Plan: 1312887 Block/Unit: 207 Lot:,181000,R4 Mid Rise Multifamily Residential District,Condominium,70,2012,786,Apartment,None,None,None,None,None,No
1139 PRAIRIE SPRINGS HL SW,843710,Plan: 0614647 Block/Unit: 1 Lot: 47,383000,R1 Single Detached Residential District,Single Family Dwelling,363,2007,1866,2 Storey,None,Yes,Yes,Yes,Yes,No
13204 2781 CHINOOK WINDS DR SW,851977,Plan: 1310382 Block/Unit: 137 Lot:,193000,R4 Mid Rise Multifamily Residential District,Condominium,82,2012,861,Apartment,None,None,Yes,No,None,No
9102 2781 CHINOOK WINDS DR SW,852508,Plan: 1311422 Block/Unit: 143 Lot:,181000,R4 Mid Rise Multifamily Residential District,Condominium,80,2013,930,Apartment,None,None,None,None,None,No
1082 PRAIRIE SPRINGS HL SW,843692,Plan: 0614647 Block/Unit: 8 Lot: 14,400000,R1 Single Detached Residential District,Single Family Dwelling,363,2009,1941,2 Storey,None,Yes,Yes,Yes,Yes,No
153 PRAIRIE SPRINGS CR SW,843590,Plan: 0614647 Block/Unit: 3 Lot: 28,473000,R1 Single Detached Residential District,Single Family Dwelling,383,2007,2386,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
2825 PRAIRIE SPRINGS GR SW,846093,Plan: 0811343 Block/Unit: 5 Lot: 18,397000,R1 Single Detached Residential District,Single Family Dwelling,473,2010,1745,2 Storey,None,Yes,No,Yes,Yes,No
1047 PRAIRIE SPRINGS HL SW,843676,Plan: 0614647 Block/Unit: 1 Lot: 23,347000,R1 Single Detached Residential District,Single Family Dwelling,374,2007,1545,2 Storey,None,Yes,Yes,Yes,Yes,No
169 PRAIRIE SPRINGS CR SW,843597,Plan: 0614647 Block/Unit: 3 Lot: 32,428000,R1 Single Detached Residential District,Single Family Dwelling,393,2009,1911,2 Storey,Yes,Yes,Yes,No,Yes,Yes
173 PRAIRIE SPRINGS CR SW,843599,Plan: 0614647 Block/Unit: 3 Lot: 33,408000,R1 Single Detached Residential District,Single Family Dwelling,394,2009,1911,2 Storey,None,Yes,Yes,Yes,Yes,Yes
34 PRAIRIE SPRINGS BA SW,846033,Plan: 0811343 Block/Unit: 5 Lot: 27,429000,R1 Single Detached Residential District,Single Family Dwelling,472,2008,1824,2 Storey,Yes,Yes,Yes,No,Yes,Yes
1091 PRAIRIE SPRINGS HL SW,843697,Plan: 0614647 Block/Unit: 1 Lot: 34,365000,R1 Single Detached Residential District,Single Family Dwelling,373,2008,1553,2 Storey,Yes,Yes,Yes,No,Yes,No
316 PRAIRIE SPRINGS CR SW,846058,Plan: 0811343 Block/Unit: 4 Lot: 12,392000,R1 Single Detached Residential District,Single Family Dwelling,458,2009,1750,2 Storey,None,Yes,Yes,Yes,Yes,No
1035 PRAIRIE SPRINGS HL SW,843673,Plan: 0614647 Block/Unit: 1 Lot: 20,370000,R1 Single Detached Residential District,Single Family Dwelling,368,2008,1527,2 Storey,Yes,Yes,Yes,Yes,Yes,No
1020 PRAIRIE SPRINGS HL SW,843671,Plan: 0614647 Block/Unit: 8 Lot: 5,388000,R1 Single Detached Residential District,Single Family Dwelling,363,2007,1705,2 Storey,Yes,Yes,Yes,Yes,Yes,No
2770 PRAIRIE SPRINGS GR SW,846080,Plan: 0811343 Block/Unit: 6 Lot: 31,532000,R1 Single Detached Residential District,Single Family Dwelling,453,2008,2504,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
308 PRAIRIE SPRINGS CR SW,846056,Plan: 0811343 Block/Unit: 4 Lot: 14,408000,R1 Single Detached Residential District,Single Family Dwelling,443,2009,1710,2 Storey,Yes,Yes,Yes,Yes,Yes,No
8304 2781 CHINOOK WINDS DR SW,852827,Plan: 1312368 Block/Unit: 192 Lot:,194000,R4 Mid Rise Multifamily Residential District,Condominium,87,2013,868,Apartment,None,None,Yes,No,None,No
2798 CHINOOK WINDS DR SW,846000,Plan: 0811343 Block/Unit: 4 Lot: 30,450000,R1 Single Detached Residential District,Single Family Dwelling,477,2008,2194,2 Storey,Yes,Yes,Yes,Yes,Yes,No
5203 2781 CHINOOK WINDS DR SW,854438,Plan: 1411093 Block/Unit: 255 Lot:,184000,R4 Mid Rise Multifamily Residential District,Condominium,84,2012,800,Apartment,None,None,Yes,No,None,No
13203 2781 CHINOOK WINDS DR SW,851976,Plan: 1310382 Block/Unit: 136 Lot:,193000,R4 Mid Rise Multifamily Residential District,Condominium,82,2012,861,Apartment,None,None,Yes,No,None,No
4105 2781 CHINOOK WINDS DR SW,854275,Plan: 1410514 Block/Unit: 239 Lot:,184000,R4 Mid Rise Multifamily Residential District,Condominium,70,2012,807,Apartment,None,None,None,None,None,No
12102 2781 CHINOOK WINDS DR SW,851766,Plan: 1213392 Block/Unit: 119 Lot:,189000,R4 Mid Rise Multifamily Residential District,Condominium,81,2012,842,Apartment,None,None,None,None,None,No
37 PRAIRIE SPRINGS CL SW,846037,Plan: 0811343 Block/Unit: 6 Lot: 17,434000,R1 Single Detached Residential District,Single Family Dwelling,431,2011,2090,2 Storey,None,Yes,Yes,Yes,Yes,Yes
303 PRAIRIE SPRINGS CR SW,843498,Plan: 0614582 Block/Unit: 3 Lot: 13,406000,R1 Single Detached Residential District,Single Family Dwelling,444,2009,1757,2 Storey,Yes,Yes,Yes,No,Yes,No
1103 2781 CHINOOK WINDS DR SW,851403,Plan: 1212566 Block/Unit: 97 Lot:,187000,R4 Mid Rise Multifamily Residential District,Condominium,75,2012,827,Apartment,None,None,None,None,None,No
7201 2781 CHINOOK WINDS DR SW,853367,Plan: 1312886 Block/Unit: 200 Lot:,171000,R4 Mid Rise Multifamily Residential District,Condominium,76,2012,710,Apartment,None,None,Yes,No,None,No
282 PRAIRIE SPRINGS CR SW,846051,Plan: 0811343 Block/Unit: 1 Lot: 79,410000,R1 Single Detached Residential District,Single Family Dwelling,422,2009,1750,2 Storey,Yes,Yes,Yes,Yes,Yes,No
283 PRAIRIE SPRINGS CR SW,843630,Plan: 0614647 Block/Unit: 3 Lot: 49,404000,R1 Single Detached Residential District,Single Family Dwelling,383,2007,2100,2 Storey,None,Yes,Yes,No,Yes,No
933 PRAIRIE SPRINGS DR SW,843529,Plan: 0614582 Block/Unit: 1 Lot: 8,437000,R1 Single Detached Residential District,Single Family Dwelling,383,2013,2046,2 Storey,Yes,Yes,Yes,Yes,Yes,No
25 PRAIRIE SPRINGS CL SW,843481,Plan: 0614582 Block/Unit: 6 Lot: 14,388000,R1 Single Detached Residential District,Single Family Dwelling,397,2009,1725,2 Storey,Yes,Yes,Yes,No,Yes,No
